"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Weiss et al (2012) On the electrification of road transport- Learning rates and price forecasts for hybrid-electric and battery-electric vehicles., J. Energy Policy 48 374-393
hybrid-electricandbattery-electricvehicles",http://dx.doi.org/10.1016/j.enpol.2012.05.038,World,,1  - Peer Reviewed,2012,,0.07,%,,,,A spread of 2% points above and below the value was noted,False
"Atse, L., Martin, J., Anand, K., 2018. REFLEX_policy_brief_Experience_curves_12_2018",http://reflex-project.eu/wp-content/uploads/2018/12/REFLEX_policy_brief_Experience_curves_12_2018.pdf,EU,EU,2 - Public Sector/ Multilateral Agency,2018,,0.108,%,,,,,False
"Weiss, M., Zerfass, A., Helmers, E., 2019. Fully electric and plug-in hybrid cars - An analysis of learning rates, user costs, and costs for mitigating CO2 and air pollutant emissions. J. Clean. Prod. 212, 1478–1489. ",https://doi.org/10.1016/j.jclepro.2018.12.019,EU,Germany,1  - Peer Reviewed,2019,,0.06,%,,,,,False
"Kittner, N., Tsiropoulos, I., Tarvydas, D., Schmidt, O., Staffell, I., Kammen, D.M., 2020. Electric vehicles, in: Technological Learning in the Transition to a Low-Carbon Energy System. Elsevier, pp. 145–163. ",https://doi.org/10.1016/B978-0-12-818762-3.00009-1,World,World,2 - Public Sector/ Multilateral Agency,2020,,0.108,%,,,,,False
