"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
IEA 2016 ETP 4DS,http://www.iea.org/etp/etp2016/,World,,2 - Public Sector/ Multilateral Agency,2016,,2247911.95903939,HEV Cars on-road,59836990274.75863,passenger-km,,"Each car drives same number of km, and has a fixed average occupancy. These were taken from ICCT.",True
"EIA, Annual Energy outlook, 2016",http://www.eia.gov/outlooks/aeo/data/browser/#/?id=49-AEO2017&cases=ref2017&sourcekey=0,OECD90,USA,2 - Public Sector/ Multilateral Agency,2016,,3.17,Millions of HEV,84381978755.09457,passenger-km,,"Sum of Plugin-10 Gas, Plugin-40 Gas and Electric-Gasoline Hybrid stock values for 2014",True
Navigant Research,http://foresightinvestor.com/articles/554942-startfragment-the-rise-of-ev-amp-hybrid-cars-endfragment-nbsp-nbsp-br,World,,3 - For Profit,2015,,2400000.0,HEV Cars on-road,63885409783.03691,passenger-km,,,True
Clean Energy Manufacturing Analysis Center,http://www.manufacturingcleanenergy.org/pdfs/webinar-highlights-cemac.pdf,World,,3 - For Profit,2016,,5875000.0,HEV Cars on-road,156386159364.72577,passenger-km,,,True
Yole Developpement,http://www.psma.com/sites/default/files/uploads/is24-ev-hev-market-and-technology-trends.pdf,World,,3 - For Profit,2015,,6870000.0,HEV Cars on-road,182871985503.94315,passenger-km,,,True
Project Drawdown Analysis of HEV Sales and Stock,See HEV Sales sheet,World,,,2018,,15445313.428,HEV Cars on-road,333293306979.414,passenger-km,,"We take manufacturer sales data for largest markets (JP, US, EU) over years that Hybrids have been available, and remove estimated retired HEV's.",False
Project Drawdown Analysis of HEV Sales and Stock,see HEV PKM Sheet,World,World,,2018,,18005776.136,HEV Cars on-road,479294327879.1612,passenger-km,,See HEV-PKM,False
