"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Davis, M., Alexander, M., & Duvall, M. (2013). Total cost of ownership model for current plug-in electric vehicles. Electric Power Research Institute.",http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?ProductId=000000003002001728,OECD90,"CA, USA/ Chevy Volt",3 - For Profit,2012,,2772.0,$2012 over lifetime,0.007219519770968304,US2014$/passenger-km,,,False
"Davis, M., Alexander, M., & Duvall, M. (2013). Total cost of ownership model for current plug-in electric vehicles. Electric Power Research Institute.",http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?ProductId=000000003002001728,OECD90,"CA, USA/ Lexus CT200h",3 - For Profit,2012,,1997.0,$2012 over lifetime,0.005201075390556891,US2014$/passenger-km,,,False
"Davis, M., Alexander, M., & Duvall, M. (2013). Total cost of ownership model for current plug-in electric vehicles. Electric Power Research Institute.",http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?ProductId=000000003002001728,OECD90,"CA, USA/ Toyota Prius",3 - For Profit,2012,,2510.0,$2012 over lifetime,0.006537155348171155,US2014$/passenger-km,,,False
EPRI (2014) Total Cost of Ownership for Current Plug-in Electric Vehicles: Update to Model 2013 and 2014 Model Year Vehicles. Report 3002004054,http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?productId=000000003002004054,OECD90,USA - 2013 C-Max Hybrid,3 - For Profit,2014,,1827.0,$2013 over lifetime,0.004712122568959453,US2014$/passenger-km,,,False
EPRI (2014) Total Cost of Ownership for Current Plug-in Electric Vehicles: Update to Model 2013 and 2014 Model Year Vehicles. Report 3002004054,http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?productId=000000003002004054,OECD90,USA - 2013 Toyota Prius,3 - For Profit,2014,,1827.0,$2013 over lifetime,0.004712122568959453,US2014$/passenger-km,,,False
UNEP (2009) Hybrid Electric Vehicles: An overview of current technology and its application in developing and transitional countries,https://www.fiafoundation.org/transport/gfei/autotool/approaches/technology/Hybrid%20Electric%20Vehicles%20final%20cs2.pdf,World,Developing Countries ,2 - Public Sector/ Multilateral Agency,2009,,4500.0,$2009 over lifetime,0.012516504457295949,US2014$/passenger-km,,,False
"Hao, X., Lin, Z., Wang, H., Ou, S., Ouyang, M., 2020. Range cost-effectiveness of plug-in electric vehicle for heterogeneous consumers: An expanded total ownership cost approach. Appl. Energy 275, 115394. ",https://doi.org/10.1016/j.apenergy.2020.115394,China,China,1  - Peer Reviewed,2020,,0.1,CNY2020/km,0.007304276852669796,US2014$/passenger-km,,,False
"Burnham, A., Gohlke, D., Rush, L., Stephens, T., Zhou, Y., Delucchi, M.A., Birky, A., Hunter, C., Lin, Z., Ou, S., Xie, F., Proctor, C., Wiryadinata, S., Liu, N., Boloor, M., 2021. Comprehensive Total Cost of Ownership Quantification for Vehicles with Different Size Classes and Powertrains",https://doi.org/10.2172/1780970,USA,USA,1  - Peer Reviewed,2020,,0.094,$2020 per mile,0.029433870525999477,US2014$/passenger-km,,,False
"Rebecca, H., 2020. Consumer Reports Study Finds Electric Vehicle Maintenance Costs Are 50% Less Than Gas-Powered Cars. Gt. Plains Inst.",https://www.betterenergy.org/blog/consumer-reports-study-finds-electric-vehicle-maintenance-costs-are-50-less-than-gas-powered-cars/ ,World,World,2 - Public Sector/ Multilateral Agency,2020,,0.03,$2020 per mile,0.009393788465744513,US2014$/passenger-km,,,False
