"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
European Commission,https://ec.europa.eu/regional_policy/sources/docgener/studies/pdf/cba_guide.pdf,OECD90,EU,2 - Public Sector/ Multilateral Agency,2014,no,35.0,,0.683610006319062,billion passenger-km/HSR: km of track OR Air: Available Seat-km (ASK),,,False
Almujibah 2019,https://www.frontiersin.org/articles/10.3389/fbuil.2019.00079/full,World,,5  - Peer Reviewed,2017,,35.0,,0.683610006319062,billion passenger-km/HSR: km of track OR Air: Available Seat-km (ASK),,,False
